system:index,Change Vec,EVI,Link,NDVI,NDWI,point_id,survey_d_1,survey_d_2,survey_d_3,survey_dat,.geo
1_LT05_189025_20000927_00000000000000000000,E20 E20 E20 B14,0.38296958166998457,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.5927375504019827,-0.5731348830543855,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20000927_00000000000000000001,E20 E20 E20 B15,0.3527910509028685,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.6063648891273282,-0.5385561625493028,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20010509_00000000000000000000,E20 E20 E20 B14,0.37447217118252657,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.5493814900475487,-0.5415174884536634,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20010509_00000000000000000001,E20 E20 E20 B15,0.10455388936863463,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.14290227235094505,-0.24180632380781653,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20010728_00000000000000000001,E20 E20 E20 B15,0.6496480780166572,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.8075540440694617,-0.7196155907357666,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20020104_00000000000000000000,E20 E20 E20 B14,-0.05625054204458251,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,-0.014759120951741101,-0.006724129913622825,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20020104_00000000000000000001,E20 E20 E20 B15,-0.10018628824914541,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,-0.020024175365922853,0.02118447142306081,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20030803_00000000000000000000,E20 E20 E20 B14,0.44082930710510465,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.6429758296768157,-0.6124801241777511,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20030803_00000000000000000001,E20 E20 E20 B15,0.38034913825328,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.5957326632789789,-0.5873698542495291,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20030920_00000000000000000000,E20 E20 E20 B14,0.25544651231336557,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.4534117746248546,-0.51953307482883,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
